Дата,Открытие,Закрытие,Макс,Мин
10/4/2018,117120,117180,117090,117120
10/4/2018,117110,117230,117090,117210
10/4/2018,117200,117200,117100,117100
10/4/2018,117130,117130,117100,117100
10/4/2018,117100,117130,117100,117100
10/4/2018,117100,117180,117050,117180
10/4/2018,117180,117270,117140,117200
10/4/2018,117210,117220,117150,117190
10/4/2018,117160,117180,117110,117170
10/4/2018,117160,117180,117130,117130
10/4/2018,117120,117140,117000,117020
10/4/2018,117020,117070,117010,117050
10/4/2018,117060,117070,117030,117030
10/4/2018,117020,117050,116960,117000
10/4/2018,117020,117070,117010,117050
10/4/2018,117040,117050,117020,117050
10/4/2018,117050,117060,116970,117020
10/4/2018,117020,117030,116940,116950
10/4/2018,116950,117020,116920,117000
10/4/2018,117000,117020,116990,117010
10/4/2018,117010,117010,116940,117000
10/4/2018,117000,117040,116990,116990
10/4/2018,116990,117000,116970,116970
10/4/2018,116970,116980,116920,116940
10/4/2018,116950,116970,116910,116950
10/4/2018,116950,117050,116920,117040
10/4/2018,117040,117060,117000,117060
10/4/2018,117060,117120,117040,117080
10/4/2018,117090,117090,117050,117050
10/4/2018,117050,117080,117050,117080
10/4/2018,117090,117170,117080,117130
10/4/2018,117130,117140,117070,117130
10/4/2018,117110,117170,117110,117120
10/4/2018,117130,117140,117100,117110
10/4/2018,117110,117200,117100,117200
10/4/2018,117180,117200,117120,117140
10/4/2018,117150,117190,117130,117170
10/4/2018,117170,117210,117140,117190
10/4/2018,117190,117200,117170,117180
10/4/2018,117170,117200,117140,117150
10/4/2018,117160,117170,116940,116970
10/4/2018,116970,117040,116930,117040
10/4/2018,117030,117080,117000,117070
10/4/2018,117070,117140,117050,117080
10/4/2018,117080,117130,117070,117090
10/4/2018,117100,117100,117060,117080
10/4/2018,117090,117110,117090,117100
10/4/2018,117100,117230,117100,117190
10/4/2018,117190,117200,117130,117130
10/4/2018,117140,117150,117100,117140
10/4/2018,117140,117170,117070,117090
10/4/2018,117100,117100,117010,117040
10/4/2018,117030,117070,117010,117020
10/4/2018,117010,117040,116970,117010
10/4/2018,117000,117040,116980,117040
10/4/2018,117040,117060,117000,117040
10/4/2018,117040,117060,117030,117040
10/4/2018,117030,117040,116970,117000
10/4/2018,117010,117040,116970,117030
10/4/2018,117030,117090,117010,117080
10/4/2018,117080,117160,117060,117150
10/4/2018,117140,117140,117080,117100
10/4/2018,117110,117110,117070,117070
10/4/2018,117070,117170,117070,117130
10/4/2018,117120,117140,117100,117100
10/4/2018,117100,117140,117090,117130
10/4/2018,117150,117250,117150,117230
10/4/2018,117240,117240,117100,117130
10/4/2018,117120,117120,117020,117030
10/4/2018,117030,117050,116800,116810
10/4/2018,116820,116920,116800,116880
10/4/2018,116880,116890,116840,116850
10/4/2018,116840,116870,116660,116710
10/4/2018,116730,116800,116690,116780
10/4/2018,116790,116810,116720,116740
10/4/2018,116730,116790,116670,116750
10/4/2018,116740,116790,116650,116690
10/4/2018,116680,116680,116540,116590
10/4/2018,116590,116600,116540,116570
10/4/2018,116570,116620,116510,116550
10/4/2018,116550,116610,116500,116560
10/4/2018,116560,116590,116380,116420
10/4/2018,116420,116520,116390,116510
10/4/2018,116520,116730,116490,116680
10/4/2018,116690,116700,116590,116610
10/4/2018,116620,116630,116240,116450
10/4/2018,116460,116460,116330,116410
10/4/2018,116400,116520,116370,116470
10/4/2018,116470,116480,116380,116450
10/4/2018,116440,116510,116380,116510
10/4/2018,116500,116600,116470,116580
10/4/2018,116580,116630,116570,116630
10/4/2018,116610,116620,116470,116510
10/4/2018,116520,116530,116440,116480
10/4/2018,116490,116540,116430,116440
10/4/2018,116450,116500,116420,116450
10/4/2018,116440,116500,116410,116440
10/4/2018,116440,116480,116300,116320
10/4/2018,116330,116390,116280,116360
10/4/2018,116340,116370,116280,116310
10/4/2018,116290,116290,116160,116250
10/4/2018,116250,116280,116150,116150
10/4/2018,116150,116170,116060,116060
10/4/2018,116060,116270,116020,116250
10/4/2018,116250,116330,116180,116310
10/4/2018,116300,116350,116300,116330
10/4/2018,116320,116330,116190,116240
10/4/2018,116230,116440,116230,116320
10/4/2018,116320,116500,116320,116440
10/4/2018,116450,116460,116330,116340
10/4/2018,116340,116360,116270,116270
10/4/2018,116270,116350,116210,116310
10/4/2018,116310,116330,116240,116240
10/4/2018,116240,116420,116230,116420
10/4/2018,116410,116410,116250,116250
10/4/2018,116250,116300,116220,116280
10/4/2018,116280,116300,116190,116220
10/4/2018,116210,116220,116080,116140
10/4/2018,116130,116260,116110,116120
10/4/2018,116140,116230,116120,116120
10/4/2018,116120,116160,116050,116090
10/4/2018,116070,116080,115910,115960
10/4/2018,115950,116060,115900,116060
10/4/2018,116050,116150,116020,116030
10/4/2018,116060,116140,116020,116080
10/4/2018,116080,116090,115940,115960
10/4/2018,115950,116000,115920,115930
10/4/2018,115940,115980,115810,115870
10/4/2018,115870,115970,115820,115920
10/4/2018,115920,115950,115900,115900
10/4/2018,115900,115970,115900,115950
10/4/2018,115960,115960,115920,115950
10/4/2018,115940,115950,115890,115940
10/4/2018,115940,116010,115940,115960
10/4/2018,115950,115970,115900,115920
10/4/2018,115910,115990,115850,115870
10/4/2018,115860,115890,115840,115850
10/4/2018,115850,115950,115840,115930
10/4/2018,115940,116020,115920,116010
10/4/2018,116020,116080,116010,116050
10/4/2018,116050,116100,115960,115980
10/4/2018,115970,116030,115910,115970
10/4/2018,115980,116010,115940,116000
10/4/2018,116000,116070,115980,116040
10/4/2018,116050,116170,115980,116110
10/4/2018,116130,116170,116040,116090
10/4/2018,116110,116180,116050,116070
10/4/2018,116070,116110,116010,116090
10/4/2018,116090,116170,116030,116120
10/4/2018,116110,116180,116090,116170
10/4/2018,116170,116210,116130,116200
10/4/2018,116190,116210,116120,116120
10/4/2018,116110,116140,116020,116050
10/4/2018,116060,116090,116030,116070
10/4/2018,116080,116090,116000,116000
10/4/2018,116010,116100,115970,116060
10/4/2018,116070,116120,116040,116060
10/4/2018,116060,116100,116040,116070
10/4/2018,116090,116160,116090,116160
10/4/2018,116160,116360,116150,116330
10/4/2018,116330,116360,116240,116270
10/4/2018,116290,116350,116270,116330
10/4/2018,116340,116340,116260,116260
10/4/2018,116270,116280,116200,116210
10/4/2018,116200,116310,116200,116290
10/4/2018,116290,116310,116260,116280
10/4/2018,116270,116270,116160,116180
10/4/2018,116170,116200,116110,116190
10/4/2018,116180,116220,116140,116140
10/4/2018,116150,116200,116140,116150
10/4/2018,116140,116150,116040,116050
10/4/2018,116050,116090,116020,116030
10/4/2018,116050,116130,116040,116120
10/4/2018,116140,116140,116050,116060
10/4/2018,116060,116100,116050,116050
10/4/2018,116050,116060,115910,115970
10/4/2018,115960,116040,115950,115960
10/4/2018,115970,116100,115950,116060
10/4/2018,116070,116130,116050,116080
10/4/2018,116090,116100,116050,116100
10/4/2018,116090,116100,116040,116050
10/4/2018,116040,116100,116020,116100
10/4/2018,116100,116170,116090,116170
10/4/2018,116160,116250,116140,116150
10/4/2018,116150,116220,116140,116140
10/4/2018,116150,116190,115990,115990
10/4/2018,116000,116030,115880,115900
10/4/2018,115900,115910,115730,115810
10/4/2018,115800,115820,115660,115660
10/4/2018,115660,115770,115550,115650
10/4/2018,115650,115760,115620,115710
10/4/2018,115730,115780,115700,115720
10/4/2018,115710,115720,115640,115680
10/4/2018,115680,115810,115630,115660
10/4/2018,115660,115780,115620,115740
10/4/2018,115750,115750,115630,115680
10/4/2018,115670,115700,115610,115640
10/4/2018,115650,115690,115620,115670
10/4/2018,115660,115700,115630,115630
10/4/2018,115630,115640,115470,115500
10/4/2018,115500,115560,115460,115490
10/4/2018,115470,115570,115420,115560
10/4/2018,115570,115580,115430,115450
10/4/2018,115450,115520,115420,115490
10/4/2018,115500,115580,115490,115560
10/4/2018,115570,115580,115440,115520
10/4/2018,115530,115610,115490,115570
10/4/2018,115560,115560,115480,115490
10/4/2018,115490,115600,115490,115570
